Coder Initial,"Potential_Law_On_MKT ((1=True, 0=False)",Notes in Support of LawonMkt,Potential Stocks or Sectors,decisionType,docket,term,dateDecision,caseName,dateArgument,,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
dk,0,,,2,12-168,2012,11/5/2012,"STEVEN LEFEMINE, DBA COLUMBIA CHRISTIANS FOR LIFE v. DAN WIDEMAN et al.",,,2012-002,2012-002-01,2012-002-01-01,2012-002-01-01-01,11/5/2012,2,,,,2012 U.S. LEXIS 8566,2012,1704,Roberts,12-168,"STEVEN LEFEMINE, DBA COLUMBIA CHRISTIANS FOR LIFE v. DAN WIDEMAN et al.",,,218,,19,48,1,,,0,114,,24,,0,12,2,1,1,5,0,1,0,0,60010,6,2,0,4,,3,328,NA,,111,1,9,0
dk,0,,,1,11-192,2012,11/13/2012,"UNITED STATES, PETITIONER v. JAMES X. BORMES",10/2/2012,,2012-004,2012-004-01,2012-004-01-01,2012-004-01-01-01,11/13/2012,1,,133 S. Ct. 12,,2012 U.S. LEXIS 8705,2012,1704,Roberts,11-192,"UNITED STATES, PETITIONER v. JAMES X. BORMES",10/2/2012,,27,,111,,1,,,0,66,,8,,0,12,5,2,1,5,0,1,0,0,50010,5,1,0,4,,6,600,15-1681b,105,111,1,9,0
dk,1,This case involves all non-competes by implication - perhaps there is a way in which companies with very high levels of talent (and talent locked up in non-competes) were impacted ,,2,11-1377,2012,11/26/2012,"NITRO-LIFT TECHNOLOGIES, L.L.C. v. EDDIE LEE HOWARD et al.",,,2012-003,2012-003-01,2012-003-01-01,2012-003-01-01-01,11/26/2012,2,,,,2012 U.S. LEXIS 8897,2012,1704,Roberts,11-1377,"NITRO-LIFT TECHNOLOGIES, L.L.C. v. EDDIE LEE HOWARD et al.",,,151,,145,,1,,,0,302,42,300,42,0,12,3,2,1,5,0,1,0,0,70010,7,1,0,4,4,3,388,NA,,111,1,9,0
dk,0,,,1,11-597,2012,12/4/2012,"ARKANSAS GAME AND FISH COMMISSION, PETITIONER v. UNITED STATES",10/3/2012,,2012-001,2012-001-01,2012-001-01-01,2012-001-01-01-01,12/4/2012,1,,,,2012 U.S. LEXIS 9409,2012,1704,Roberts,11-597,"ARKANSAS GAME AND FISH COMMISSION, PETITIONER v. UNITED STATES",10/3/2012,,4,5,27,,1,,,0,3,,8,,0,11,3,2,1,4,0,1,0,0,40070,4,1,0,,1,2,211,NA,109,111,1,8,0
dk,0,,,1,11-184,2012,12/10/2012,"CAROLYN M. KLOECKNER, PETITIONER v. HILDA L. SOLIS, SECRETARY OF LABOR",10/2/2012,,2012-005,2012-005-01,2012-005-01-01,2012-005-01-01-01,12/10/2012,1,,,,2012 U.S. LEXIS 9420,2012,1704,Roberts,11-184,"CAROLYN M. KLOECKNER, PETITIONER v. HILDA L. SOLIS, SECRETARY OF LABOR",10/2/2012,,13,30,371,,1,,,0,86,,28,,0,12,2,1,1,4,0,1,0,0,20400,2,2,0,5,4,6,600,5-1101,114,111,1,9,0
dk,1,One could imagine how another company subjected to the application of this rule just received a windfall from the Court's decision,,1,11-460,2012,1/8/2013,"LOS ANGELES COUNTY FLOOD CONTROL DISTRICT PETITIONER v. NATURAL RESOURCES DEFENSE COUNCIL, INC., et al.",12/4/2012,,2012-008,2012-008-01,2012-008-01-01,2012-008-01-01-01,1/8/2013,1,,,,2013 U.S. LEXIS 597,2012,1704,Roberts,11-460,"LOS ANGELES COUNTY FLOOD CONTROL DISTRICT PETITIONER v. NATURAL RESOURCES DEFENSE COUNCIL, INC., et al.",12/4/2012,,5,6,333,,1,33,,0,48,,29,,0,11,7,2,1,4,0,1,0,0,80130,8,1,0,4,,3,338,NA,109,111,1,9,0
dk,0,,,1,10-930,2012,1/8/2013,"CHARLES L. RYAN, PETITIONER v. ERNEST VALENCIA GONZALES; TERRY TIBBALS, PETITIONER v. SEAN CARTER",10/9/2012,,2012-009,2012-009-01,2012-009-01-01,2012-009-01-01-01,1/8/2013,1,,,,2013 U.S. LEXIS 598,2012,1704,Roberts,10-930,"CHARLES L. RYAN, PETITIONER v. ERNEST VALENCIA GONZALES; TERRY TIBBALS, PETITIONER v. SEAN CARTER",10/9/2012,,19,4,136,,1,,,0,45,,29,,0,11,1,2,1,3,0,1,0,0,10020,1,1,0,4,,3,341,NA,108,111,1,9,0
dk,0,,,1,28065,2012,1/9/2013,"CALVIN SMITH, PETITIONER v. UNITED STATES",11/6/2012,,2012-006,2012-006-01,2012-006-01-01,2012-006-01-01-01,1/9/2013,1,,,184 L. Ed. 2d 570,2013 U.S. LEXIS 601,2012,1704,Roberts,Nov-76,"CALVIN SMITH, PETITIONER v. UNITED STATES",11/6/2012,,137,,27,,1,,,0,55,,32,,0,12,2,1,1,2,0,0,0,0,10400,1,1,0,4,,3,362,NA,105,111,1,9,0
dk,1,This case could move Nike's stock price higher and Already LLC (YUMS) lower (but it might not be publically traded),"Nike, Already LLC (dba of Yums)",1,11-982,2012,1/9/2013,"ALREADY, LLC, DBA YUMS, PETITIONER v. NIKE, INC.",11/7/2012,,2012-007,2012-007-01,2012-007-01-01,2012-007-01-01-01,1/9/2013,1,,,,2013 U.S. LEXIS 602,2012,1704,Roberts,11-982,"ALREADY, LLC, DBA YUMS, PETITIONER v. NIKE, INC.",11/7/2012,,184,,184,,1,,,0,96,,22,,0,12,2,1,1,2,0,0,0,0,80200,8,1,0,1,,1,139,NA,111,111,1,9,0
dk,0,,,1,11-626,2012,1/15/2013,"FANE LOZMAN, PETITIONER v. THE CITY OF RIVIERA BEACH, FLORIDA",10/1/2012,,2012-010,2012-010-01,2012-010-01-01,2012-010-01-01-01,1/15/2013,1,,,,2013 U.S. LEXIS 907,2012,1704,Roberts,11-626,"FANE LOZMAN, PETITIONER v. THE CITY OF RIVIERA BEACH, FLORIDA",10/1/2012,,195,,3,12,1,,,0,58,,31,,0,7,,2,1,3,0,0,0,0,40070,4,2,0,1,,2,211,NA,110,111,1,7,2
