case,caseDisposition,caseName,dateArgument,dateDecision,docket,issue,issueArea,lawType,lowerCourtDisagreement,petitioner,respondent,sctCite,shortName,term,testPart,ticker,voteMargin
1,4.0,"HUNT-WESSON, INC. v. FRANCHISE TAX BOARD OF CALIFORNIA",1/12/2000,2/22/2000,98-2043,80100.0,8.0,2.0,0.0,25.0,4.0,120 S.Ct. 1022,Hunt-Wesson v. Franchise Tax Bd. of CA,1999,,CAG,9
1,4.0,"HUNT-WESSON, INC. v. FRANCHISE TAX BOARD OF CALIFORNIA",1/12/2000,2/22/2000,98-2043,80100.0,8.0,2.0,0.0,25.0,4.0,120 S.Ct. 1022,Hunt-Wesson v. Franchise Tax Bd. of CA,1999,,XLP,9
1,4.0,"HUNT-WESSON, INC. v. FRANCHISE TAX BOARD OF CALIFORNIA",1/12/2000,2/22/2000,98-2043,80100.0,8.0,2.0,0.0,25.0,4.0,120 S.Ct. 1022,Hunt-Wesson v. Franchise Tax Bd. of CA,1999,XLP,CAG,9
2,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999,XLE,BP,9
2,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999,XLE,CVX,9
2,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999,XLE,XOM,9
2,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999,,BP,9
2,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999,,CVX,9
2,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999,,XOM,9
2,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999,,XLE,9
3,2.0,"FOOD AND DRUG ADMINISTRATION, et al. v. BROWN & WILLIAMSON TOBACCO CORPORATION, et al.",12/1/1999,3/21/2000,98-1152,80170.0,8.0,3.0,0.0,340.0,184.0,120 S.Ct. 1291,FDA v. Brown & Williamson Tobacco,1999,,MO,1
3,2.0,"FOOD AND DRUG ADMINISTRATION, et al. v. BROWN & WILLIAMSON TOBACCO CORPORATION, et al.",12/1/1999,3/21/2000,98-1152,80170.0,8.0,3.0,0.0,340.0,184.0,120 S.Ct. 1291,FDA v. Brown & Williamson Tobacco,1999,,RAI,1
3,2.0,"FOOD AND DRUG ADMINISTRATION, et al. v. BROWN & WILLIAMSON TOBACCO CORPORATION, et al.",12/1/1999,3/21/2000,98-1152,80170.0,8.0,3.0,0.0,340.0,184.0,120 S.Ct. 1291,FDA v. Brown & Williamson Tobacco,1999,,XLP,1
3,2.0,"FOOD AND DRUG ADMINISTRATION, et al. v. BROWN & WILLIAMSON TOBACCO CORPORATION, et al.",12/1/1999,3/21/2000,98-1152,80170.0,8.0,3.0,0.0,340.0,184.0,120 S.Ct. 1291,FDA v. Brown & Williamson Tobacco,1999,XLP,MO,1
3,2.0,"FOOD AND DRUG ADMINISTRATION, et al. v. BROWN & WILLIAMSON TOBACCO CORPORATION, et al.",12/1/1999,3/21/2000,98-1152,80170.0,8.0,3.0,0.0,340.0,184.0,120 S.Ct. 1291,FDA v. Brown & Williamson Tobacco,1999,XLP,RAI,1
