"","Case","Index","Symbol","estimate","error","t.value","p.value","sig","dateDecision","sctCite","term","docket","shortName"
"41",8,"SPY","HMC","-0.004535","0.015000","-0.302327","0.762403","","5/22/2000","120 S.Ct. 1913",1999,"98-1811","Alexis Geier v. Honda"
"42",8,"SPY","TM","-0.009292","0.007649","-1.214800","0.224442","","5/22/2000","120 S.Ct. 1913",1999,"98-1811","Alexis Geier v. Honda"
"43",8,"SPY","XLY","-0.000528","0.005907","-0.089384","0.928777","","5/22/2000","120 S.Ct. 1913",1999,"98-1811","Alexis Geier v. Honda"
"44",8,"XLY","GM","-0.043869","0.028064","-1.563153","0.118017","","5/22/2000","120 S.Ct. 1913",1999,"98-1811","Alexis Geier v. Honda"
"45",8,"XLY","HMC","-0.004296","0.014961","-0.287139","0.774006","","5/22/2000","120 S.Ct. 1913",1999,"98-1811","Alexis Geier v. Honda"
"46",8,"XLY","TM","-0.010083","0.007699","-1.309589","0.190335","","5/22/2000","120 S.Ct. 1913",1999,"98-1811","Alexis Geier v. Honda"
"47",9,"SPY","ASB","0.000000","0.000000","NaN","NaN","","6/12/2000","120 S.Ct. 2180",1999,"99-579","Harris Trust v. Salomon Smith Barney"
"48",9,"SPY","XLF","0.053329","0.022413","2.379346","0.017343","**","6/12/2000","120 S.Ct. 2180",1999,"99-579","Harris Trust v. Salomon Smith Barney"
"49",9,"XLF","ASB","0.000000","0.000000","NaN","NaN","","6/12/2000","120 S.Ct. 2180",1999,"99-579","Harris Trust v. Salomon Smith Barney"
"50",10,"SPY","MRO","0.010800","0.032689","0.330385","0.741109","","6/26/2000","120 S.Ct. 2423",1999,"99-244","Exxon Mobil v. U.S."
"51",10,"SPY","XOM","-0.022917","0.022089","-1.037506","0.299500","","6/26/2000","120 S.Ct. 2423",1999,"99-244","Exxon Mobil v. U.S."
"52",10,"SPY","XLE","-0.019562","0.016615","-1.177378","0.239045","","6/26/2000","120 S.Ct. 2423",1999,"99-244","Exxon Mobil v. U.S."
"53",10,"XLE","MRO","0.012043","0.032995","0.364998","0.715113","","6/26/2000","120 S.Ct. 2423",1999,"99-244","Exxon Mobil v. U.S."
"54",10,"XLE","XOM","-0.018809","0.023642","-0.795570","0.426282","","6/26/2000","120 S.Ct. 2423",1999,"99-244","Exxon Mobil v. U.S."
"55",11,"SPY","XLF","-0.023024","0.025594","-0.899573","0.368348","","11/28/2000","121 S.Ct. 462",2000,"99-1038","E. Associated Coal v. United Mine Workers of Am."
"56",12,"SPY","BP","0.011499","0.019944","0.576553","0.564241","","12/4/2000","121 S.Ct. 471",2000,"00-836","Bush v. Palm Beach Cnty. Canvassing Bd."
"57",12,"SPY","CVX","0.005295","0.018049","0.293370","0.769239","","12/4/2000","121 S.Ct. 471",2000,"00-836","Bush v. Palm Beach Cnty. Canvassing Bd."
"58",12,"SPY","XOM","0.012778","0.025073","0.509629","0.610312","","12/4/2000","121 S.Ct. 471",2000,"00-836","Bush v. Palm Beach Cnty. Canvassing Bd."
"59",12,"SPY","XLE","0.054412","0.018737","2.903973","0.003685","***","12/4/2000","121 S.Ct. 471",2000,"00-836","Bush v. Palm Beach Cnty. Canvassing Bd."
"60",12,"XLE","BP","0.011177","0.019963","0.559879","0.575562","","12/4/2000","121 S.Ct. 471",2000,"00-836","Bush v. Palm Beach Cnty. Canvassing Bd."
"61",12,"XLE","CVX","0.006941","0.018622","0.372728","0.709351","","12/4/2000","121 S.Ct. 471",2000,"00-836","Bush v. Palm Beach Cnty. Canvassing Bd."
"62",12,"XLE","XOM","0.005107","0.025880","0.197330","0.843569","","12/4/2000","121 S.Ct. 471",2000,"00-836","Bush v. Palm Beach Cnty. Canvassing Bd."
"63",13,"SPY","BP","-0.023106","0.020500","-1.127112","0.259695","","12/12/2000","121 S.Ct. 525",2000,"00-949","Bush and Cheney v. Gore"
"64",13,"SPY","CVX","0.012218","0.019837","0.615910","0.537954","","12/12/2000","121 S.Ct. 525",2000,"00-949","Bush and Cheney v. Gore"
"65",13,"SPY","XOM","0.030133","0.024815","1.214314","0.224628","","12/12/2000","121 S.Ct. 525",2000,"00-949","Bush and Cheney v. Gore"
"66",13,"SPY","XLE","-0.017512","0.021103","-0.829828","0.406636","","12/12/2000","121 S.Ct. 525",2000,"00-949","Bush and Cheney v. Gore"
"67",13,"XLE","BP","-0.027110","0.020561","-1.318540","0.187323","","12/12/2000","121 S.Ct. 525",2000,"00-949","Bush and Cheney v. Gore"
"68",13,"XLE","CVX","0.005323","0.020282","0.262445","0.792978","","12/12/2000","121 S.Ct. 525",2000,"00-949","Bush and Cheney v. Gore"
"69",13,"XLE","XOM","0.019792","0.025489","0.776477","0.437468","","12/12/2000","121 S.Ct. 525",2000,"00-949","Bush and Cheney v. Gore"
"70",14,"SPY","JNJ","-0.000495","0.017064","-0.029008","0.976858","","2/21/2001","121 S.Ct. 1012",2000,"98-1768","Buckman Co. v. Plaintiffs' Legal Comm."
"71",14,"SPY","XLV","-0.015257","0.006340","-2.406641","0.016100","**","2/21/2001","121 S.Ct. 1012",2000,"98-1768","Buckman Co. v. Plaintiffs' Legal Comm."
"72",14,"XLV","JNJ","0.000805","0.017666","0.045567","0.963655","","2/21/2001","121 S.Ct. 1012",2000,"98-1768","Buckman Co. v. Plaintiffs' Legal Comm."
"73",15,"SPY","F","-0.061340","0.031569","-1.943070","0.052008","*","2/27/2001","121 S.Ct. 903",2000,"99-1257","EPA v. AM. Trucking Ass'n"
"74",15,"SPY","GM","-0.059418","0.024309","-2.444238","0.014516","**","2/27/2001","121 S.Ct. 903",2000,"99-1257","EPA v. AM. Trucking Ass'n"
"75",15,"SPY","HMC","-0.012076","0.005754","-2.098582","0.035854","**","2/27/2001","121 S.Ct. 903",2000,"99-1257","EPA v. AM. Trucking Ass'n"
"76",15,"SPY","TM","-0.003073","0.005571","-0.551624","0.581206","","2/27/2001","121 S.Ct. 903",2000,"99-1257","EPA v. AM. Trucking Ass'n"
"77",15,"SPY","XLY","0.001389","0.007491","0.185411","0.852907","","2/27/2001","121 S.Ct. 903",2000,"99-1257","EPA v. AM. Trucking Ass'n"
"78",15,"XLY","F","-0.068913","0.032777","-2.102500","0.035509","**","2/27/2001","121 S.Ct. 903",2000,"99-1257","EPA v. AM. Trucking Ass'n"
"79",15,"XLY","GM","-0.067474","0.026051","-2.590044","0.009596","***","2/27/2001","121 S.Ct. 903",2000,"99-1257","EPA v. AM. Trucking Ass'n"
"80",15,"XLY","HMC","-0.011892","0.005757","-2.065564","0.038870","**","2/27/2001","121 S.Ct. 903",2000,"99-1257","EPA v. AM. Trucking Ass'n"
"81",15,"XLY","TM","-0.002933","0.005571","-0.526467","0.598564","","2/27/2001","121 S.Ct. 903",2000,"99-1257","EPA v. AM. Trucking Ass'n"
"82",16,"SPY","LMT","0.010006","0.035189","0.284353","0.776140","","2/27/2001","121 S.Ct. 1021",2000,"99-1551","Semtek v. Lockheed Martin"
