"","Case","Index","Symbol","estimate","error","t.value","p.value","sig","dateDecision","sctCite","term","docket","shortName"
"169",30,"IYZ","CMCSA","-0.031654","0.019229","-1.646166","0.099730","*","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"170",30,"IYZ","DISH","-0.012597","0.028878","-0.436212","0.662683","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"171",30,"IYZ","T","-0.027666","0.023165","-1.194296","0.232362","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"172",30,"IYZ","VZ","-0.017770","0.018406","-0.965460","0.334315","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"173",30,"IYZ","XLY","-0.012989","0.009103","-1.426930","0.153600","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"174",30,"XLY","CMCSA","-0.031496","0.019231","-1.637752","0.101474","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"175",30,"XLY","DISH","-0.011132","0.028875","-0.385523","0.699850","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"176",30,"XLY","T","-0.027898","0.023169","-1.204108","0.228548","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"177",30,"XLY","VZ","-0.017949","0.018412","-0.974830","0.329645","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"178",30,"XLY","IYZ","0.009085","0.010886","0.834585","0.403951","","1/16/2002","122 S.Ct. 782",2001,"00-832","Nat'l Cable & Telecomm. Ass'n v. Gulf Power"
"179",31,"SPY","ACI","-0.023544","0.025517","-0.922681","0.356173","","2/19/2002","122 S.Ct. 941",2001,"00-1307","Barnhart, Comm'r of Soc. Sec. v. Sigmon Coal"
"180",31,"SPY","BTU","-0.022324","0.024184","-0.923080","0.355965","","2/19/2002","122 S.Ct. 941",2001,"00-1307","Barnhart, Comm'r of Soc. Sec. v. Sigmon Coal"
"181",31,"SPY","CLD","-0.011232","0.006295","-1.784363","0.074365","*","2/19/2002","122 S.Ct. 941",2001,"00-1307","Barnhart, Comm'r of Soc. Sec. v. Sigmon Coal"
"182",31,"SPY","XLE","-0.002642","0.012452","-0.212172","0.831973","","2/19/2002","122 S.Ct. 941",2001,"00-1307","Barnhart, Comm'r of Soc. Sec. v. Sigmon Coal"
"183",31,"XLE","ACI","-0.026400","0.025927","-1.018237","0.308565","","2/19/2002","122 S.Ct. 941",2001,"00-1307","Barnhart, Comm'r of Soc. Sec. v. Sigmon Coal"
"184",31,"XLE","BTU","-0.022234","0.024145","-0.920838","0.357135","","2/19/2002","122 S.Ct. 941",2001,"00-1307","Barnhart, Comm'r of Soc. Sec. v. Sigmon Coal"
"185",31,"XLE","CLD","-0.011028","0.006296","-1.751468","0.079865","*","2/19/2002","122 S.Ct. 941",2001,"00-1307","Barnhart, Comm'r of Soc. Sec. v. Sigmon Coal"
"186",31,"WLB","ACI","-0.025454","0.026030","-0.977881","0.328133","","2/19/2002","122 S.Ct. 941",2001,"00-1307","Barnhart, Comm'r of Soc. Sec. v. Sigmon Coal"
"187",31,"WLB","BTU","-0.016423","0.024274","-0.676581","0.498672","","2/19/2002","122 S.Ct. 941",2001,"00-1307","Barnhart, Comm'r of Soc. Sec. v. Sigmon Coal"
"188",31,"WLB","CLD","-0.011241","0.006464","-1.739113","0.082015","*","2/19/2002","122 S.Ct. 941",2001,"00-1307","Barnhart, Comm'r of Soc. Sec. v. Sigmon Coal"
"189",31,"WLB","WLB","-0.010956","0.008363","-1.310025","0.190188","","2/19/2002","122 S.Ct. 941",2001,"00-1307","Barnhart, Comm'r of Soc. Sec. v. Sigmon Coal"
