case,index,symbol,estimate,error,t_value,p_value,sig,date_decision_x,sct_cite_x,term_x,docket_x,case_short_name_x,case_disposition,case_name,date_argument,date_decision_y,docket_y,issue,issue_area,law_type,lc_disagreement,petitioner,respondent,sct_cite_y,case_short_name_y,term_y,vote_margin,abs_estimate,delay_argued,delay_argued_months,petitioner_name,respondent_name,case_disposition_name
1,SPY,CAG,0.007026,0.050674000000000004,0.138651,0.889726,,2/22/2000,120 S.Ct. 1022,1999,98-2043,Hunt-Wesson v. Franchise Tax Bd. of CA,4.0,"HUNT-WESSON, INC. v. FRANCHISE TAX BOARD OF CALIFORNIA",1/12/2000,2/22/2000,98-2043,80100.0,8.0,2.0,0.0,25.0,4.0,120 S.Ct. 1022,Hunt-Wesson v. Franchise Tax Bd. of CA,1999.0,9.0,0.007026,41,1,state or local governmental taxp,"state commission, board, committ",Reversed and Remanded
1,SPY,XLP,-0.030688999999999998,0.029094,-1.054805,0.291514,,2/22/2000,120 S.Ct. 1022,1999,98-2043,Hunt-Wesson v. Franchise Tax Bd. of CA,4.0,"HUNT-WESSON, INC. v. FRANCHISE TAX BOARD OF CALIFORNIA",1/12/2000,2/22/2000,98-2043,80100.0,8.0,2.0,0.0,25.0,4.0,120 S.Ct. 1022,Hunt-Wesson v. Franchise Tax Bd. of CA,1999.0,9.0,0.030688999999999998,41,1,state or local governmental taxp,"state commission, board, committ",Reversed and Remanded
1,XLP,CAG,0.008083,0.051425,0.157182,0.875102,,2/22/2000,120 S.Ct. 1022,1999,98-2043,Hunt-Wesson v. Franchise Tax Bd. of CA,4.0,"HUNT-WESSON, INC. v. FRANCHISE TAX BOARD OF CALIFORNIA",1/12/2000,2/22/2000,98-2043,80100.0,8.0,2.0,0.0,25.0,4.0,120 S.Ct. 1022,Hunt-Wesson v. Franchise Tax Bd. of CA,1999.0,9.0,0.008083,41,1,state or local governmental taxp,"state commission, board, committ",Reversed and Remanded
2,SPY,BP,0.045799,0.026987,1.6970900000000002,0.08968,*,3/6/2000,120 S.Ct. 1135,1999,98-1701,U.S. v. Locke,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999.0,9.0,0.045799,90,3,United States,"governmental official, or an off",Reversed and Remanded
2,SPY,CVX,0.066548,0.029138999999999998,2.283832,0.022381,**,3/6/2000,120 S.Ct. 1135,1999,98-1701,U.S. v. Locke,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999.0,9.0,0.066548,90,3,United States,"governmental official, or an off",Reversed and Remanded
2,SPY,XOM,0.09113099999999999,0.034765,2.621317,0.008759000000000001,***,3/6/2000,120 S.Ct. 1135,1999,98-1701,U.S. v. Locke,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999.0,9.0,0.09113099999999999,90,3,United States,"governmental official, or an off",Reversed and Remanded
2,SPY,XLE,0.007913,0.020094,0.393795,0.693732,,3/6/2000,120 S.Ct. 1135,1999,98-1701,U.S. v. Locke,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999.0,9.0,0.007913,90,3,United States,"governmental official, or an off",Reversed and Remanded
2,XLE,BP,0.042493,0.026982,1.5748469999999999,0.115292,,3/6/2000,120 S.Ct. 1135,1999,98-1701,U.S. v. Locke,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999.0,9.0,0.042493,90,3,United States,"governmental official, or an off",Reversed and Remanded
2,XLE,CVX,0.058880999999999996,0.029452999999999997,1.999164,0.045591,**,3/6/2000,120 S.Ct. 1135,1999,98-1701,U.S. v. Locke,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999.0,9.0,0.058880999999999996,90,3,United States,"governmental official, or an off",Reversed and Remanded
2,XLE,XOM,0.070684,0.036539999999999996,1.934436,0.05306,*,3/6/2000,120 S.Ct. 1135,1999,98-1701,U.S. v. Locke,4.0,"UNITED STATES v. GARY LOCKE, GOVERNOR OF WASHINGTON, et al.",12/7/1999,3/6/2000,98-1701,100030.0,10.0,6.0,1.0,27.0,19.0,120 S.Ct. 1135,U.S. v. Locke,1999.0,9.0,0.070684,90,3,United States,"governmental official, or an off",Reversed and Remanded
3,SPY,MO,-0.011759,0.042983999999999994,-0.273568,0.784417,,3/21/2000,120 S.Ct. 1291,1999,98-1152,FDA v. Brown & Williamson Tobacco,2.0,"FOOD AND DRUG ADMINISTRATION, et al. v. BROWN & WILLIAMSON TOBACCO CORPORATION, et al.",12/1/1999,3/21/2000,98-1152,80170.0,8.0,3.0,0.0,340.0,184.0,120 S.Ct. 1291,FDA v. Brown & Williamson Tobacco,1999.0,1.0,0.011759,111,3,Food and Drug Administration,manufacturer,Affirmed
3,SPY,RAI,0.03805,0.035443,1.073549,0.283025,,3/21/2000,120 S.Ct. 1291,1999,98-1152,FDA v. Brown & Williamson Tobacco,2.0,"FOOD AND DRUG ADMINISTRATION, et al. v. BROWN & WILLIAMSON TOBACCO CORPORATION, et al.",12/1/1999,3/21/2000,98-1152,80170.0,8.0,3.0,0.0,340.0,184.0,120 S.Ct. 1291,FDA v. Brown & Williamson Tobacco,1999.0,1.0,0.03805,111,3,Food and Drug Administration,manufacturer,Affirmed
3,SPY,XLP,0.034543,0.038885,0.888336,0.37435999999999997,,3/21/2000,120 S.Ct. 1291,1999,98-1152,FDA v. Brown & Williamson Tobacco,2.0,"FOOD AND DRUG ADMINISTRATION, et al. v. BROWN & WILLIAMSON TOBACCO CORPORATION, et al.",12/1/1999,3/21/2000,98-1152,80170.0,8.0,3.0,0.0,340.0,184.0,120 S.Ct. 1291,FDA v. Brown & Williamson Tobacco,1999.0,1.0,0.034543,111,3,Food and Drug Administration,manufacturer,Affirmed
3,XLP,MO,-0.015755,0.043086,-0.365662,0.7146170000000001,,3/21/2000,120 S.Ct. 1291,1999,98-1152,FDA v. Brown & Williamson Tobacco,2.0,"FOOD AND DRUG ADMINISTRATION, et al. v. BROWN & WILLIAMSON TOBACCO CORPORATION, et al.",12/1/1999,3/21/2000,98-1152,80170.0,8.0,3.0,0.0,340.0,184.0,120 S.Ct. 1291,FDA v. Brown & Williamson Tobacco,1999.0,1.0,0.015755,111,3,Food and Drug Administration,manufacturer,Affirmed
3,XLP,RAI,0.037833,0.035445,1.067387,0.28579699999999997,,3/21/2000,120 S.Ct. 1291,1999,98-1152,FDA v. Brown & Williamson Tobacco,2.0,"FOOD AND DRUG ADMINISTRATION, et al. v. BROWN & WILLIAMSON TOBACCO CORPORATION, et al.",12/1/1999,3/21/2000,98-1152,80170.0,8.0,3.0,0.0,340.0,184.0,120 S.Ct. 1291,FDA v. Brown & Williamson Tobacco,1999.0,1.0,0.037833,111,3,Food and Drug Administration,manufacturer,Affirmed
